Timestamp,Name,Symbol,RealTimePrice,MarketCap,Volume,PercentChange24h,CirculatingSupply,High24h,Low24h,AllTimeHigh,AllTimeLow
2024-01-09 17:15:09,Cronos,cro,0.089153,2364065250.0,19245973.0,1.8904,26468562865.6967,0.092903,0.087499,0.965407,0.0121196
2024-01-09 17:15:11,Dash,dash,27.72,322963165.0,41686533.0,3.75146,11617719.015812,28.59,26.72,1493.59,0.213899
2024-01-09 17:16:14,Bitcoin SV,bsv,87.82,1746438157.0,152027563.0,19.69422,19602075.0,96.89,73.37,489.75,21.43
2024-01-09 17:16:17,EOS,eos,0.717082,814974746.0,121566060.0,1.85094,1134698509.5403,0.740856,0.704051,22.71,0.5024
2024-01-09 17:16:19,Monero,xmr,147.14,2670475582.0,124431012.0,-3.09792,18147820.3764146,154.06,145.08,542.33,0.216177
2024-01-09 17:16:23,TRON,trx,0.103177,9102167312.0,371313182.0,-0.40019,88272643821.4319,0.104912,0.102981,0.231673,0.00180434
2024-01-09 17:17:26,Litecoin,ltc,65.7,4887866219.0,868973896.0,1.76692,74073114.4834713,68.43,64.55,410.26,1.15
2024-01-09 17:17:28,Cardano,ada,0.521363,18331820804.0,698313461.0,5.09706,35062455754.9956,0.542339,0.496077,3.09,0.01925275
2024-01-09 17:17:30,Polkadot,dot,7.38,9751992064.0,273584741.0,5.2926,1316856816.75429,7.51,7.01,54.98,2.7
2024-01-09 17:17:32,Bitcoin Cash,bch,250.23,4907073924.0,280343805.0,5.89155,19608862.3966508,256.29,236.3,3785.82,76.93
2024-01-09 17:18:36,Cosmos Hub,atom,9.86,3773809855.0,235944161.0,4.89514,382122557.107684,10.01,9.4,44.45,1.16
2024-01-09 17:18:38,VeChain,vet,0.03010843,2197455812.0,87788509.0,0.0293,72714516834.0,0.03210619,0.0300244,0.280991,0.00191713
2024-01-09 17:18:40,Maker,mkr,1809.7,1664084557.0,161717989.0,0.60051,920112.336426501,1940.34,1731.65,6292.31,168.36
2024-01-09 17:19:44,XRP,xrp,0.566751,30730253342.0,1212771759.0,1.11229,54210437480.0,0.581288,0.560516,3.4,0.00268621
2024-01-09 17:19:45,Litecoin,ltc,65.68,4887866219.0,843080160.0,1.73219,74073114.4834713,68.43,64.55,410.26,1.15
2024-01-09 17:19:47,Cardano,ada,0.520516,18331820804.0,654937092.0,4.92635,35062455754.9956,0.542339,0.496077,3.09,0.01925275
2024-01-09 17:19:49,Polkadot,dot,7.38,9751992064.0,269625385.0,5.23071,1316856816.75429,7.51,7.01,54.98,2.7
2024-01-09 17:19:50,Bitcoin Cash,bch,250.24,4907073924.0,280645078.0,5.89925,19608862.3966508,256.29,236.3,3785.82,76.93
2024-01-09 17:20:52,Monero,xmr,147.0,2670475582.0,125380873.0,-3.12943,18147820.3764146,154.06,145.08,542.33,0.216177
2024-01-09 17:20:54,TRON,trx,0.103355,9102167312.0,365460821.0,-0.22762,88272643821.4319,0.104912,0.102981,0.231673,0.00180434
2024-01-09 17:20:55,Tezos,xtz,0.916252,821958433.0,35780273.0,3.84057,897708401.410572,0.944016,0.882364,9.12,0.350476
2024-01-09 17:20:57,NEO,neo,11.67,824004392.0,40462059.0,4.3365,70530000.0,12.07,11.18,198.38,0.078349
2024-01-09 17:20:58,NEM,xem,0.03391989,304726780.0,7510145.0,5.13759,8999999999.0,0.03488279,0.03226238,1.87,8.482e-05
2024-01-09 17:22:00,Dogecoin,doge,0.078963,11259688242.0,561107599.0,1.23206,142581126383.705,0.081798,0.078002,0.731578,8.69e-05
2024-01-09 17:22:01,USDC,usdc,1.0,25290462629.0,11046386265.0,0.01361,25320492447.933,1.006,0.99512,1.17,0.877647
2024-01-09 17:22:04,Wrapped Bitcoin,wbtc,46564.0,7345264341.0,401134884.0,5.0933,158168.98879455,47091.0,44307.0,70643.0,3139.17
2024-01-09 17:22:06,Uniswap,uni,6.01,4508866160.0,222350606.0,-0.20667,753766667.0,6.26,5.96,44.92,1.03
2024-01-09 17:22:09,Aave,aave,95.26,1398352084.0,155911745.0,0.31345,14704181.392036,99.73,94.96,661.69,26.02
2024-01-09 17:22:12,Bitcoin SV,bsv,89.29,1748211338.0,309369750.0,19.76604,19602075.0,96.89,74.55,489.75,21.43
2024-01-09 17:23:15,Litecoin,ltc,66.02,4887866219.0,846219907.0,2.28744,74073114.4834713,68.43,64.55,410.26,1.15
2024-01-09 17:23:17,Cardano,ada,0.521937,18264208492.0,651528470.0,5.0152,35062455754.9956,0.542339,0.497011,3.09,0.01925275
2024-01-09 17:24:18,Dash,dash,27.81,322152145.0,41529033.0,4.04007,11617719.015812,28.59,26.73,1493.59,0.213899
2024-01-09 17:24:22,LEO Token,leo,4.04,3752386587.0,1527902.0,1.07996,927992650.9,4.08,3.94,8.14,0.799859
2024-01-09 17:24:25,Bitcoin,btc,46622.0,911132839587.0,37358760406.0,4.94278,19593712.0,47193.0,44427.0,69045.0,67.81
2024-01-09 17:25:29,Cosmos Hub,atom,9.89,3770833080.0,236392804.0,5.078,382122557.107684,10.01,9.41,44.45,1.16
2024-01-09 17:25:30,VeChain,vet,0.03021408,2196725031.0,90246676.0,0.21418,72714516834.0,0.03210619,0.0300244,0.280991,0.00191713
2024-01-09 17:25:32,Maker,mkr,1819.15,1669477283.0,163557290.0,1.21263,920112.336426501,1940.34,1731.65,6292.31,168.36
2024-01-09 17:26:35,EOS,eos,0.718491,815032355.0,121563756.0,1.22332,1134698509.5403,0.740856,0.709808,22.71,0.5024
